date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Scotland,England,0,0,Friendly,Glasgow,Scotland,False
0.0,England,Scotland,4,2,Friendly,London,England,False
0.0,Scotland,England,2,1,Friendly,Glasgow,Scotland,False
0.0,England,Scotland,2,2,Friendly,London,England,False
0.0,Scotland,England,3,0,Friendly,Glasgow,Scotland,False
0.0,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False
0.0,England,Scotland,1,3,Friendly,London,England,False
0.0,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False
0.0,Scotland,England,7,2,Friendly,Glasgow,Scotland,False
0.0,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False
0.0,England,Wales,2,1,Friendly,London,England,False
0.0,England,Scotland,5,4,Friendly,London,England,False
0.0,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
0.0,Scotland,England,5,4,Friendly,Glasgow,Scotland,False
0.0,Wales,England,2,3,Friendly,Wrexham,Wales,False
0.0,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False
0.0,England,Wales,0,1,Friendly,Blackburn,England,False
0.0,England,Scotland,1,6,Friendly,London,England,False
0.0,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False
0.0,Northern Ireland,England,0,13,Friendly,Belfast,Republic of Ireland,False
0.0,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False
0.0,Scotland,England,5,1,Friendly,Glasgow,Scotland,False
0.0,Wales,England,5,3,Friendly,Wrexham,Wales,False
0.0,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False
0.0,England,Wales,5,0,Friendly,London,England,False
0.0,England,Northern Ireland,7,0,Friendly,Liverpool,England,False
0.0,England,Scotland,2,3,Friendly,Sheffield,England,False
0.0,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
0.0,Northern Ireland,Wales,1,1,Friendly,Belfast,Republic of Ireland,False
0.0,Northern Ireland,Scotland,0,5,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,England,1,8,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,1,0,British Championship,Glasgow,Scotland,False
0.0,Wales,England,0,4,British Championship,Wrexham,Wales,False
0.0,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
0.0,England,Northern Ireland,4,0,British Championship,Manchester,England,False
0.0,England,Wales,1,1,British Championship,Blackburn,England,False
0.0,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False
0.0,England,Scotland,1,1,British Championship,London,England,False
0.0,Wales,Scotland,1,8,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,Wales,2,8,British Championship,Belfast,Republic of Ireland,False
0.0,United States,Canada,0,1,Friendly,Newark,United States,False
0.0,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,False
0.0,Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
0.0,Wales,England,1,3,British Championship,Wrexham,Wales,False
0.0,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
0.0,United States,Canada,3,2,Friendly,Newark,United States,False
0.0,England,Northern Ireland,7,0,British Championship,Sheffield,England,False
0.0,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False
0.0,England,Wales,4,0,British Championship,London,England,False
0.0,Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,False
0.0,England,Scotland,2,3,British Championship,Blackburn,England,False
0.0,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False
0.0,England,Wales,5,1,British Championship,Crewe,England,False
0.0,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False
0.0,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False
0.0,Scotland,England,0,5,British Championship,Glasgow,Scotland,False
0.0,Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,False
0.0,Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False
0.0,England,Wales,4,1,British Championship,Stoke-on-Trent,England,False
0.0,England,Northern Ireland,6,1,British Championship,Liverpool,England,False
0.0,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False
0.0,England,Scotland,2,3,British Championship,London,England,False
0.0,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True
0.0,Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,England,1,3,British Championship,Wrexham,Wales,False
0.0,Scotland,Wales,5,0,British Championship,Paisley,Scotland,False
0.0,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
0.0,Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,False
0.0,England,Wales,4,1,British Championship,Sunderland,England,False
0.0,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,False
0.0,Wales,Scotland,3,4,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False
0.0,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,False
0.0,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,England,0,2,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,False
0.0,Scotland,England,1,4,British Championship,Glasgow,Scotland,False
0.0,England,Northern Ireland,6,1,British Championship,Birmingham,England,False
0.0,England,Wales,6,0,British Championship,Stoke-on-Trent,England,False
0.0,Wales,Scotland,0,8,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False
0.0,England,Scotland,5,2,British Championship,Richmond,England,False
0.0,Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,False
0.0,Northern Ireland,England,2,2,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,England,1,5,British Championship,Wrexham,Wales,False
0.0,Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,False
0.0,Northern Ireland,Scotland,1,2,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,2,2,British Championship,Glasgow,Scotland,False
0.0,England,Northern Ireland,9,0,British Championship,Derby,England,False
0.0,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False
0.0,England,Wales,1,1,British Championship,London,England,False
0.0,Wales,Scotland,2,2,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False
0.0,England,Scotland,3,0,British Championship,Liverpool,England,False
0.0,Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,England,1,9,British Championship,Cardiff,Wales,False
0.0,Scotland,Wales,4,0,British Championship,Dundee,Scotland,False
0.0,Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,2,1,British Championship,Glasgow,Scotland,False
0.0,England,Northern Ireland,6,0,British Championship,Nottingham,England,False
0.0,Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,Scotland,2,2,British Championship,Wrexham,Wales,False
0.0,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,False
0.0,England,Wales,4,0,British Championship,Sheffield,England,False
0.0,England,Scotland,1,2,British Championship,London,England,False
0.0,Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,False
0.0,Northern Ireland,England,2,3,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Wales,5,2,British Championship,Motherwell,Scotland,False
0.0,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,England,0,3,British Championship,Wrexham,Wales,False
0.0,Scotland,England,1,3,British Championship,Glasgow,Scotland,False
0.0,England,Northern Ireland,13,2,British Championship,Sunderland,England,False
0.0,Northern Ireland,Wales,1,0,British Championship,Belfast,Republic of Ireland,False
0.0,Wales,Scotland,0,6,British Championship,Wrexham,Wales,False
0.0,England,Wales,4,0,British Championship,Bristol,England,False
0.0,Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,False
0.0,England,Scotland,2,1,British Championship,Birmingham,England,False
0.0,Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,False
0.0,Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,False
0.0,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False
0.0,Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,False
0.0,Wales,England,1,1,British Championship,Cardiff,Wales,False
0.0,Scotland,England,4,1,British Championship,Glasgow,Scotland,False
